kilo-Electron Volt [keV],Counts
0.099,171
0.109,66
0.119,0
0.129,20.796
0.139,174.84
0.149,317.9
0.159,191.97
0.169,122.07
0.179,111.18
0.189,115.3
0.199,121.45
0.209,151.6
0.219,202.78
0.229,272.96
0.239,336.17
0.249,401.38
0.259,481.61
0.269,537.85
0.279,550.11
0.289,489.38
0.299,399.66
0.309,316.95
0.319,255.25
0.329,192.57
0.339,147.9
0.349,122.23
0.359,99.579
0.369,82.937
0.379,80.305
0.389,87.62
0.399,107.85
0.409,98.099
0.419,104.3
0.429,109.47
0.439,144.56
0.449,161.66
0.459,175.77
0.469,204.9
0.479,246.04
0.489,304.19
0.499,302.35
0.509,394.52
0.519,379.71
0.529,371.91
0.539,369.12
0.549,330.34
0.559,274.57
0.569,247.81
0.579,243.06
0.589,193.32
0.599,231.59
0.609,209.87
0.619,233.16
0.629,218.46
0.639,210.77
0.649,240.09
0.659,257.42
0.669,265.75
0.679,289.09
0.689,322.45
0.699,377.81
0.709,372.17
0.719,344.55
0.729,351.93
0.739,370.32
0.749,325.72
0.759,348.13
0.769,321.54
0.779,380.96
0.789,398.38
0.799,425.82
0.809,438.26
0.819,415.7
0.829,450.16
0.839,472.61
0.849,488.08
0.859,450.55
0.869,479.03
0.879,478.51
0.889,545
0.899,515.49
0.909,564.99
0.919,508.5
0.929,574.01
0.939,580.53
0.949,602.05
0.959,577.58
0.969,617.11
0.979,610.64
0.989,635.19
0.999,602.73
1.009,694.28
1.019,634.84
1.029,673.4
1.039,681.96
1.049,683.53
1.059,706.11
1.069,698.69
1.079,723.27
1.089,756.85
1.099,812.12
1.109,830.39
1.119,761.65
1.129,767.92
1.139,867.19
1.149,881.45
1.159,867.72
1.169,917.98
1.179,909.25
1.189,986.52
1.199,979.78
1.209,959.05
1.219,1056.3
1.229,1071.6
1.239,1127.8
1.249,1223.1
1.259,1196.4
1.269,1323.6
1.279,1349.9
1.289,1310.2
1.299,1484.4
1.309,1515.7
1.319,1664
1.329,1708.2
1.339,1935.5
1.349,2270.8
1.359,2811
1.369,3902.3
1.379,5912.6
1.389,9301.8
1.399,14946
1.409,23489
1.419,35860
1.429,51047
1.439,70126
1.449,90061
1.459,1.1027E5
1.469,1.2604E5
1.479,1.3647E5
1.489,1.3906E5
1.499,1.3321E5
1.509,1.2076E5
1.519,1.0327E5
1.529,82464
1.539,62409
1.549,45309
1.559,30957
1.569,20598
1.579,12967
1.589,7813.2
1.599,4677.4
1.609,2707.7
1.619,1691
1.629,932.24
1.639,495.5
1.649,297.77
1.659,246.04
1.669,169.3
1.679,160.57
1.689,176.83
1.699,213.1
1.709,247.37
1.719,294.63
1.729,323.9
1.739,359.17
1.749,307.43
1.759,315.7
1.769,273.96
1.779,220.23
1.789,202.5
1.799,157.76
1.809,151.03
1.819,109.3
1.829,67.563
1.839,68.829
1.849,59.095
1.859,35.362
1.869,37.628
1.879,62.894
1.889,37.161
1.899,41.427
1.909,37.693
1.919,20.96
1.929,31.171
1.939,45.372
1.949,34.573
1.959,44.774
1.969,37.975
1.979,45.176
1.989,54.377
1.999,27.578
2.009,29.764
2.019,45.864
2.029,57.965
2.039,66.065
2.049,76.166
2.059,48.266
2.069,48.367
2.079,42.467
2.089,63.568
2.099,65.668
2.109,38.769
2.119,51.975
2.129,55.578
2.139,40.181
2.149,42.784
2.159,63.387
2.169,64.99
2.179,36.593
2.189,34.196
2.199,71.744
2.209,65.291
2.219,43.839
2.229,55.362
2.239,55.884
2.249,55.407
2.259,64.93
2.269,70.452
2.279,74.975
2.289,62.497
2.299,45.02
2.309,47.543
2.319,50.065
2.329,43.588
2.339,50.095
