kilo-Electron Volt [keV],Counts
0.099,155
0.109,24
0.119,0
0.129,29.709
0.139,230.5
0.149,403.31
0.159,234.15
0.169,148.01
0.179,119.89
0.189,137.61
0.199,184.93
0.209,189.27
0.219,241.64
0.229,267.04
0.239,322.47
0.249,375.93
0.259,426.41
0.269,447.92
0.279,444.46
0.289,416.02
0.299,353.6
0.309,305.21
0.319,248.84
0.329,209.49
0.339,182.16
0.349,172.86
0.359,160.57
0.369,162.28
0.379,181.02
0.389,190.77
0.399,160.54
0.409,193.33
0.419,199.14
0.429,225.96
0.439,221.81
0.449,264.67
0.459,283.54
0.469,302.44
0.479,303.35
0.489,346.27
0.499,369.21
0.509,392.17
0.519,416.14
0.529,400.13
0.539,390.13
0.549,410.14
0.559,410.16
0.569,397.2
0.579,457.26
0.589,438.32
0.599,459.4
0.609,429.49
0.619,468.59
0.629,556.71
0.639,508.83
0.649,624.97
0.659,665.12
0.669,717.27
0.679,747.44
0.689,837.62
0.699,852.81
0.709,990.01
0.719,1147.2
0.729,1258.4
0.739,1479.7
0.749,1848.9
0.759,2353.2
0.769,2836.4
0.779,3466.7
0.789,3908
0.799,4546.2
0.809,5141.5
0.819,5539.8
0.829,5958.1
0.839,6782.4
0.849,8171.8
0.859,10368
0.869,13823
0.879,18141
0.889,23837
0.899,29597
0.909,34454
0.919,38181
0.929,39557
0.939,38478
0.949,34629
0.959,29259
0.969,22947
0.979,16951
0.989,11926
0.999,7690.5
1.009,4701.9
1.019,2763.3
1.029,1661.8
1.039,862.24
1.049,492.69
1.059,320.15
1.069,239.62
1.079,226.09
1.089,187.57
1.099,120.58
1.109,114.6
1.119,113.61
1.129,117.63
1.139,114.64
1.149,140.66
1.159,156.67
1.169,154.69
1.179,145.7
1.189,121.72
1.199,92.734
1.209,118.61
1.219,156.47
1.229,121.32
1.239,166.09
1.249,148.86
1.259,134.63
1.269,155.33
1.279,146.03
1.289,156.66
1.299,187.27
1.309,159.88
1.319,160.48
1.329,169.07
1.339,158.66
1.349,176.17
1.359,198.68
1.369,185.19
1.379,183.69
1.389,168.2
1.399,199.69
1.409,168.19
1.419,191.57
1.429,215.96
1.439,215.35
1.449,217.73
1.459,209.12
1.469,179.51
1.479,223.85
1.489,187.2
1.499,207.55
1.509,215.89
1.519,215.24
1.529,193.59
1.539,190.93
1.549,225.28
1.559,208.63
1.569,217.97
1.579,209.32
1.589,215.67
1.599,198.02
1.609,164.36
1.619,211.46
1.629,234.55
1.639,213.63
1.649,208.72
1.659,220.73
1.669,228.71
1.679,223.69
1.689,237.59
1.699,274.44
1.709,253.28
1.719,312.13
1.729,297.97
1.739,250.81
1.749,267.66
1.759,289.5
1.769,316.35
1.779,312.19
1.789,321.04
1.799,271.88
1.809,239.72
1.819,251.57
1.829,252.41
1.839,313.26
1.849,270.1
1.859,269.94
1.869,280.79
1.879,288.63
1.889,239.48
1.899,261.32
1.909,268.17
1.919,224.01
1.929,217.85
1.939,237.7
1.949,203.54
1.959,190.39
1.969,213.19
1.979,194.98
1.989,213.73
1.999,203.47
2.009,212.22
2.019,196.96
2.029,241.6
2.039,218.25
2.049,232.89
2.059,207.53
2.069,227.15
2.079,244.77
2.089,224.39
2.099,232.01
2.109,222.62
2.119,206.39
2.129,196.64
2.139,225.86
2.149,229.09
2.159,197.31
2.169,231.43
2.179,222.65
2.189,213.12
2.199,241.58
2.209,217.04
2.219,228.5
2.229,204.96
2.239,226.42
2.249,202.88
2.259,215.3
2.269,264.71
2.279,254.13
2.289,245.55
2.299,261.96
2.309,279.38
2.319,212.8
2.329,198.22
2.339,221.57
2.349,248.92
2.359,261.29
2.369,227.65
2.379,251.02
2.389,259.43
2.399,241.84
2.409,242.26
2.419,247.67
2.429,226.08
2.439,240.49
2.449,240.9
2.459,254.38
2.469,246.93
2.479,239.49
2.489,233.04
2.499,237.59
2.509,234.15
2.519,244.7
2.529,248.25
2.539,244.8
2.549,240.36
2.559,238.91
2.569,215.46
2.579,219.02
2.589,254.57
2.599,213.12
2.609,227.67
2.619,236.23
2.629,260.78
2.639,274.33
2.649,232.92
2.659,213.52
2.669,254.11
2.679,263.7
2.689,262.3
2.699,262.89
2.709,255.48
2.719,266.08
2.729,245.67
2.739,221.26
2.749,242.85
2.759,264.45
2.769,249.04
2.779,228.63
2.789,220.23
2.799,227.82
2.809,236.41
2.819,219.01
2.829,206.6
2.839,215.19
2.849,242.78
2.859,230.49
2.869,209.19
2.879,224.89
2.889,231.6
2.899,219.3
2.909,213.01
2.919,230.71
2.929,244.41
2.939,241.12
2.949,244.82
2.959,244.52
2.969,265.23
2.979,278.93
2.989,271.63
2.999,280.34
3.010,284.04
3.020,244.79
3.030,225.55
3.040,245.3
3.050,217.06
3.060,197.81
3.070,225.56
3.080,217.32
3.090,205.07
3.100,226.82
3.110,208.58
3.120,213.38
3.130,230.19
3.140,230.99
3.150,230.79
3.160,204.6
3.170,187.4
3.180,163.21
3.190,156.01
3.200,177.95
3.210,187.01
3.220,193.07
3.230,201.22
3.240,212.36
3.250,210.51
3.260,182.72
3.270,204.94
3.280,220.22
3.290,194.52
3.300,175.83
3.310,194.15
3.320,214.47
3.330,179.79
3.340,156.2
3.350,161.6
3.360,184.01
3.370,187.42
3.380,171.82
3.390,183.25
3.400,160.67
3.410,156.2
3.420,184.72
3.430,197.25
3.440,179.78
3.450,197.31
3.460,184.83
3.470,140.4
3.480,162.97
3.490,200.54
3.500,191.11
3.510,162.67
3.520,176.24
3.530,161.81
3.540,135.38
3.550,160.94
3.560,166.65
