kilo-Electron Volt [keV],Counts
0.099,128
0.109,37
0.119,0
0.129,39.612
0.139,248.53
0.149,389.47
0.159,202.42
0.169,121.4
0.179,107.4
0.189,122.27
0.199,138
0.209,172.43
0.219,211.86
0.229,257.31
0.239,342.79
0.249,411.3
0.259,429.83
0.269,467.38
0.279,463.97
0.289,421.57
0.299,380.2
0.309,333.85
0.319,275.52
0.329,236.22
0.339,207.94
0.349,183.67
0.359,170.43
0.369,194.2
0.379,205
0.389,203.81
0.399,237.65
0.409,236.5
0.419,249.36
0.429,252.25
0.439,282.15
0.449,333.07
0.459,388
0.469,402.95
0.479,477.91
0.489,538.89
0.499,564.89
0.509,643.89
0.519,755.92
0.529,834.95
0.539,1026
0.549,1372.1
0.559,1743.1
0.569,2118.2
0.579,2717.3
0.589,3232.4
0.599,3724.6
0.609,4124.7
0.619,4604.8
0.629,4845
0.639,5380.2
0.649,5976.3
0.659,6701.5
0.669,7467.7
0.679,8373.9
0.689,8958.2
0.699,9580.4
0.709,8851.6
0.719,8103.9
0.729,6612.1
0.739,5313.4
0.749,3924.7
0.759,2733
0.769,1846.3
0.779,1111.6
0.789,665.88
0.799,382.2
0.809,271.53
0.819,181.86
0.829,142.2
0.839,118.55
0.849,117.91
0.859,134.27
0.869,114.64
0.879,118.02
0.889,109.41
0.899,131.77
0.909,125.13
0.919,154.51
0.929,125.89
0.939,147.27
0.949,134.66
0.959,167.06
0.969,136.47
0.979,133.88
0.989,115.3
0.999,108.73
1.009,140.14
1.019,110.56
1.029,120.95
1.039,150.34
1.049,176.74
1.059,116.14
1.069,116.55
1.079,129.92
1.089,155.3
1.099,144.23
1.109,121.17
1.119,166.88
1.129,166.59
1.139,178.31
1.149,160.02
1.159,170.67
1.169,226.32
1.179,192.96
1.189,168.6
1.199,197.18
1.209,200.75
1.219,178.32
1.229,177.89
1.239,186.41
1.249,207.89
1.259,189.38
1.269,200.8
1.279,212.18
1.289,213.56
1.299,204.93
1.309,227.26
1.319,216.59
1.329,209.91
1.339,239.22
1.349,274.52
1.359,239.82
1.369,208.12
1.379,262.23
1.389,260.33
1.399,241.44
1.409,293.48
1.419,252.52
1.429,276.56
1.439,288.6
1.449,254.64
1.459,265.68
1.469,265.72
1.479,249.76
1.489,249.8
1.499,251.84
1.509,271.88
1.519,237.92
1.529,254.96
1.539,228
1.549,264.04
1.559,274.08
1.569,245.12
1.579,227.16
1.589,217.2
1.599,276.12
1.609,237.04
1.619,234.96
1.629,238.85
1.639,266.64
1.649,316.44
1.659,251.23
1.669,319.88
1.679,337.53
1.689,349.18
1.699,340.82
1.709,379.47
1.719,403.12
1.729,379.77
1.739,409.42
1.749,442.07
1.759,434.71
1.769,372.36
1.779,364.01
1.789,355.66
1.799,342.31
1.809,339.95
1.819,324.6
1.829,293.25
1.839,289.9
1.849,245.55
1.859,233.2
1.869,271.81
1.879,295.42
1.889,303.04
1.899,261.65
1.909,228.26
1.919,279.67
1.929,266.08
1.939,261.48
1.949,271.87
1.959,265.27
1.969,256.66
1.979,266.98
1.989,268.29
1.999,270.58
2.009,277.86
2.019,264.15
2.029,288.41
2.039,263.67
2.049,284
2.059,306.33
2.069,300.65
2.079,301.98
2.089,288.31
2.099,281.63
2.109,249.96
2.119,278.49
2.129,294.44
2.139,322.39
2.149,295.34
2.159,300.29
2.169,298.24
2.179,320.27
2.189,286.38
2.199,304.68
2.209,293.99
2.219,310.31
2.229,293.63
2.239,306.94
2.249,300.26
2.259,303.58
2.269,314.89
2.279,347.21
2.289,373.53
2.299,330.84
2.309,339.16
2.319,352.48
2.329,351.79
2.339,321.11
2.349,290.43
2.359,290.74
2.369,292.06
2.379,326.38
2.389,333.69
2.399,321.01
2.409,310.33
2.419,297.64
2.429,286.96
2.439,286.28
2.449,306.59
2.459,234.02
2.469,253.45
2.479,312.87
2.489,309.3
2.499,294.73
2.509,298.16
2.519,271.58
2.529,258.01
2.539,272.44
2.549,272.86
2.559,263.33
2.569,242.01
2.579,250.69
2.589,253.38
2.599,273.06
2.609,278.74
2.619,306.43
2.629,295.11
2.639,269.79
2.649,287.48
2.659,283.16
2.669,277.84
2.679,257.53
2.689,249.21
2.699,278.89
2.709,295.58
2.719,303.26
2.729,287.94
2.739,247.63
2.749,228.31
2.759,225.99
2.769,236.68
2.779,252.36
2.789,235.05
2.799,263.73
2.809,248.41
2.819,231.1
2.829,244.78
2.839,244.46
2.849,249.15
2.859,261.83
2.869,225.51
2.879,230.2
2.889,252.91
2.899,258.62
2.909,255.34
2.919,240.05
2.929,266.76
2.939,285.48
2.949,274.19
2.959,282.9
2.969,272.62
2.979,273.33
2.989,264.05
2.999,235.77
3.010,244.54
3.020,277.34
3.030,281.15
3.040,269.95
3.050,247.75
3.060,224.56
3.070,232.41
3.080,235.26
3.090,260.11
3.100,258.96
3.110,247.03
3.120,239.1
3.130,250.17
3.140,257.24
3.150,217.37
3.160,221.53
3.170,223.77
3.180,212.07
3.190,209.43
3.200,184.79
3.210,201.15
3.220,229.52
3.230,213.93
3.240,204.38
3.250,188.83
3.260,182.34
3.270,195.9
3.280,198.46
3.290,191.02
3.300,220.62
3.310,209.23
3.320,175.84
3.330,186.47
3.340,161.11
3.350,150.74
3.360,175.37
3.370,180.2
3.380,185.03
3.390,186.86
3.400,185.75
3.410,166.65
3.420,159.54
3.430,183.44
3.440,174.33
3.450,161.23
3.460,148.12
3.470,168.02
3.480,163.91
3.490,150.8
3.500,162.7
3.510,165.59
3.520,159.49
3.530,148.38
3.540,167.28
3.550,175.17
3.560,142.07
3.570,119.01
3.580,145.95
3.590,152.02
3.600,132.09
3.610,135.15
3.620,126.25
3.630,124.44
3.640,146.69
3.650,162.95
3.660,169.35
3.670,171.75
3.680,154.16
3.690,139.56
3.700,169.96
3.710,168.36
3.720,141.77
3.730,155.19
3.740,171.6
3.750,157.02
3.760,147.44
3.770,143.85
3.780,128.27
3.790,129.7
3.800,139.13
3.810,156.56
3.820,144.99
3.830,150.42
3.840,151.85
3.850,134.29
3.860,106.75
3.870,111.22
3.880,131.69
3.890,130.16
3.900,140.62
3.910,142.3
3.920,134.97
3.930,124.64
3.940,94.332
3.950,102.02
3.960,130.71
3.970,134.46
3.980,149.24
3.990,121.03
4.000,113.82
4.010,145.62
4.020,107.44
4.030,88.256
4.040,116.01
4.050,116.76
4.060,102.52
4.070,106.27
4.080,109.03
4.090,113.78
4.100,95.533
4.110,83.286
4.120,98.985
4.130,98.683
4.140,112.38
4.150,126.08
4.160,134.78
4.170,113.48
4.180,113.18
4.190,131.87
4.200,143.57
4.210,134.27
4.220,124.97
4.230,122.67
4.240,123.37
4.250,122.07
4.260,120.76
4.270,126.46
4.280,141.16
4.290,114.86
4.300,123.56
4.310,108.26
4.320,102.95
4.330,115.65
4.340,101.35
4.350,104.05
4.360,122.75
4.370,122.45
4.380,109.15
4.390,131.84
4.400,124.54
4.410,133.24
4.420,121.94
4.430,128.64
4.440,84.337
4.450,97.925
4.460,90.513
4.470,122.1
4.480,112.69
4.490,117.28
4.500,114.86
4.510,96.452
4.520,130.04
4.530,116.63
4.540,83.216
4.550,39.769
4.560,101.1
4.570,116.43
4.580,115.76
4.590,53.095
4.600,77.427
4.610,105.76
4.620,85.09
4.630,89.422
4.640,118.75
4.650,116.09
4.660,96.417
4.670,94.749
4.680,121.08
4.690,109.41
4.700,104.74
4.710,106.08
4.720,148.41
4.730,113.76
4.740,98.121
4.750,110.48
4.760,107.83
4.770,110.19
4.780,100.55
4.790,75.925
4.800,113.3
4.810,87.678
4.820,81.055
4.830,94.432
4.840,103.81
4.850,87.186
4.860,61.563
4.870,67.94
4.880,72.317
4.890,90.693
4.900,108.07
4.910,90.447
4.920,91.824
4.930,62.201
4.940,59.578
4.950,68.955
4.960,62.332
4.970,88.709
4.980,62.085
4.990,48.462
5.000,63.804
5.010,95.146
5.020,66.487
5.030,92.829
5.040,89.171
5.050,81.513
5.060,77.854
5.070,126.2
5.080,78.538
5.090,74.879
5.100,102.22
5.110,64.563
5.120,71.905
5.130,92.246
5.140,49.588
5.150,33.91
5.160,24.151
5.170,53.342
5.180,64.533
5.190,82.724
5.200,63.915
5.210,75.106
5.220,69.296
5.230,47.487
5.240,47.678
5.250,41.166
5.260,87.663
5.270,66.291
5.280,76.166
5.290,82.04
5.300,70.99
5.310,67.955
5.320,72
5.330,118.06
5.340,84.121
5.350,116.22
5.360,97.322
5.370,108.42
5.380,156.52
5.390,177.62
5.400,178.72
5.410,192.82
5.420,171.92
5.430,181.03
5.440,164.13
5.450,142.23
5.460,118.33
5.470,133.43
5.480,104.53
5.490,118.63
5.500,99.729
5.510,92.829
5.520,85.93
5.530,91.03
5.540,59.131
5.550,47.231
5.560,73.281
5.570,66.332
5.580,88.382
5.590,57.432
5.600,92.482
5.610,71.533
5.620,41.583
5.630,53.568
5.640,77.553
5.650,87.538
5.660,49.568
5.670,48.598
5.680,49.628
5.690,48.658
5.700,47.688
5.710,63.709
5.720,48.729
5.730,77.744
5.740,79.799
5.750,81.854
5.760,72.91
5.770,51.965
5.780,100.01
5.790,53.055
5.800,132.1
5.810,145.14
5.820,140.18
5.830,176.22
5.840,192.26
5.850,239.3
5.860,256.34
5.870,300.38
5.880,245.42
5.890,252.46
5.900,299.5
5.910,306.54
5.920,260.58
5.930,309.62
5.940,271.66
5.950,249.7
5.960,236.74
5.970,180.78
5.980,171.82
5.990,173.86
6.000,105.9
6.010,120.94
6.020,145.98
6.030,127.02
6.040,96.06
6.050,149.1
6.060,129.14
6.070,151.18
6.080,134.22
6.090,145.26
6.100,146.3
6.110,181.34
6.120,117.38
6.130,150.42
6.140,205.46
6.150,189.5
6.160,190.54
6.170,226.58
6.180,255.62
6.190,348.66
6.200,382.7
6.210,538.74
6.220,739.78
6.230,936.82
6.240,1478.9
6.250,2034.9
6.260,2835.9
6.270,3819
6.280,5349
6.290,7168.1
6.300,9304.1
6.310,12150
6.320,15386
6.330,18354
6.340,21920
6.350,25504
6.360,28923
6.370,31711
6.380,34129
6.390,35460
6.400,36074
6.410,36021
6.420,34566
6.430,32114
6.440,29449
6.450,26179
6.460,22542
6.470,19323
6.480,16019
6.490,12710
6.500,9849.4
6.510,7674.5
6.520,5822.6
6.530,4047.7
6.540,2970.8
6.550,2129.9
6.560,1413
6.570,967.16
6.580,737.28
6.590,522.4
6.600,354.52
6.610,280.64
6.620,220.76
6.630,208.88
6.640,203.01
6.650,171.13
6.660,157.25
6.670,168.37
6.680,155.49
6.690,172.61
6.700,205.73
6.710,145.85
6.720,184.94
6.730,177.04
6.740,172.14
6.750,170.23
6.760,187.33
6.770,148.43
6.780,198.54
6.790,189.67
6.800,206.79
6.810,203.92
6.820,245.05
6.830,228.17
6.840,248.3
6.850,261.42
6.860,288.55
6.870,288.67
6.880,368.8
6.890,432.92
6.900,505.05
6.910,618.2
6.920,810.35
6.930,972.5
6.940,1223.7
6.950,1435.8
6.960,1747
6.970,2120.1
6.980,2586.3
6.990,2939.4
7.000,3320.6
7.010,3688.7
7.020,4119.9
7.030,4362
7.040,4605.2
7.050,4739.4
7.060,4755.5
7.070,4742.7
7.080,4459.8
7.090,4125
7.100,3829.2
7.110,3223.3
7.120,2871.5
7.130,2449.6
7.140,2051.8
7.150,1776
7.160,1338.1
7.170,1020.3
7.180,852.45
7.190,576.61
7.200,446.77
7.210,310.93
7.220,241.1
7.230,142.26
7.240,141.12
7.250,115.97
7.260,67.698
7.270,76.176
7.280,53.653
7.290,51.055
7.300,35.442
7.310,32.749
7.320,42.04
7.330,25.332
7.340,53.583
7.350,34.834
7.360,53.085
7.370,56.337
7.380,76.588
7.390,69.839
7.400,71.09
7.410,50.342
7.420,72.593
7.430,86.844
7.440,64.095
7.450,59.347
7.460,93.598
7.470,90.849
7.480,74.101
7.490,90.352
7.500,66.603
7.510,86.859
7.520,75.116
7.530,59.372
7.540,80.628
7.550,37.884
7.560,57.156
7.570,62.427
7.580,47.698
7.590,41.97
7.600,42.241
7.610,43.513
7.620,68.784
7.630,52.085
7.640,24.387
7.650,59.643
7.660,45.899
7.670,67.156
7.680,78.412
7.690,61.668
7.700,46.925
7.710,41.181
7.720,18.437
7.730,57.653
7.740,46.869
7.750,41.085
7.760,25.302
7.770,48.518
7.780,49.734
7.790,41.95
7.800,42.166
7.810,55.382
7.820,38.598
7.830,46.839
7.840,43.08
7.850,38.322
7.860,58.563
7.870,38.804
7.880,43.045
7.890,22.286
7.900,60.528
7.910,66.769
7.920,37.01
7.930,67.251
7.940,34.492
7.950,41.769
7.960,64.045
7.970,63.322
7.980,60.598
7.990,66.874
8.000,66.151
8.011,95.427
8.021,84.704
8.031,102.98
8.041,66.256
8.051,72.533
8.061,90.809
8.071,104.09
8.081,77.362
8.091,83.638
8.101,86.915
8.111,40.191
8.121,71.467
8.131,49.744
8.141,61.02
8.151,79.296
8.161,58.573
8.171,65.849
8.181,39.126
8.191,58.402
8.201,47.678
8.211,54.955
8.221,31.231
8.231,57.508
8.241,56.784
8.251,90.09
8.261,54.397
8.271,52.704
8.281,40.01
8.291,37.317
8.301,64.623
8.311,52.93
8.321,61.236
8.331,33.543
8.341,28.844
8.351,48.121
8.361,41.397
8.371,34.673
8.381,50.95
8.391,55.226
8.401,57.503
8.411,40.779
8.421,74.055
8.431,38.332
8.441,43.608
8.451,45.889
8.461,70.171
8.471,53.452
8.481,71.734
8.491,25.015
8.501,51.256
8.511,71.497
8.521,47.739
8.531,53.98
8.541,24.221
8.551,28.452
8.561,59.683
8.571,31.915
8.581,46.146
8.591,75.377
8.601,63.608
8.611,60.839
8.621,40.07
8.631,37.302
8.641,59.533
8.651,26.764
8.661,56.995
8.671,42.226
8.681,28.457
8.691,57.688
8.701,54.92
8.711,47.151
8.721,76.382
8.731,44.613
8.741,27.844
8.751,45.07
8.761,22.296
8.771,19.492
8.781,71.673
8.791,35.854
8.801,74.035
8.811,39.216
8.821,51.397
8.831,28.578
8.841,59.759
8.851,56.94
8.861,46.121
8.871,49.332
8.881,60.543
8.891,16.754
8.901,58.94
8.911,34.126
8.921,43.312
8.931,45.497
8.941,33.683
8.951,60.925
8.961,45.166
8.971,50.407
8.981,43.648
8.991,16.889
9.001,43.121
9.011,29.352
9.021,50.583
9.031,28.814
9.041,56.045
9.051,35.276
9.061,39.508
9.071,38.739
9.081,30.97
9.091,25.201
9.101,59.432
9.111,55.663
9.121,50.894
9.131,57.126
9.141,36.357
9.151,31.588
9.161,51.819
9.171,56.05
9.181,39.281
9.191,65.513
9.201,38.744
9.211,50.975
9.221,69.206
9.231,45.437
9.241,54.693
9.251,45.95
9.261,36.206
9.271,49.462
9.281,36.719
9.291,38.975
9.301,63.231
9.311,52.487
9.321,40.744
9.331,28
9.341,41.256
9.351,59.513
9.361,83.769
9.371,34.025
9.381,50.281
9.391,66.538
9.401,53.794
9.411,45.05
9.421,47.307
9.431,59.563
9.441,70.819
9.451,29.075
9.461,34.332
9.471,49.588
9.481,52.844
9.491,28.101
9.501,64.352
9.511,51.603
9.521,51.854
9.531,63.106
9.541,26.357
9.551,72.593
9.561,49.829
9.571,28.065
9.581,46.302
9.591,51.538
9.601,33.774
9.611,22.01
9.621,41.216
9.631,45.422
9.641,50.628
9.651,52.834
9.661,67.04
9.671,66.246
9.681,44.452
9.691,51.693
9.701,65.935
9.711,47.176
9.721,68.417
9.731,60.658
9.741,41.899
9.751,46.161
9.761,58.422
9.771,51.683
9.781,28.945
9.791,31.206
9.801,53.467
9.811,21.729
9.821,33.965
9.831,47.201
9.841,57.437
9.851,33.673
9.861,44.91
9.871,49.146
9.881,47.382
9.891,23.618
9.901,57.854
9.911,42.09
9.921,34.327
9.931,17.563
9.941,27.764
9.951,36.965
9.961,60.166
9.971,30.367
9.981,50.568
9.991,43.769
10.001,46.97
10.011,50.171
10.021,42.377
10.031,55.583
10.041,51.789
10.051,25.995
10.061,27.201
10.071,45.407
10.081,45.613
10.091,41.819
10.101,36.025
10.111,41.231
10.121,34.437
10.131,46.643
10.141,32.849
10.151,53.055
10.161,57.261
10.171,38.467
10.181,37.673
10.191,75.879
10.201,27.106
10.211,50.342
10.221,44.578
10.231,17.814
10.241,54.02
10.251,51.226
10.261,35.432
10.271,39.638
10.281,25.844
10.291,33.05
10.301,42.256
10.311,34.462
10.321,39.668
10.331,68.874
10.341,24.08
10.351,60.286
10.361,48.492
10.371,42.698
10.381,53.905
10.391,36.111
10.401,34.317
10.411,71.528
10.421,60.739
10.431,20.95
10.441,29.156
10.451,48.362
10.461,58.568
10.471,21.774
10.481,22.98
10.491,51.186
10.501,82.392
10.511,44.598
10.521,29.804
10.531,53.01
10.541,37.216
10.551,35.422
10.561,66.628
10.571,66.834
10.581,49.04
10.591,76.246
10.601,24.452
10.611,49.658
10.621,48.864
10.631,56.095
10.641,27.327
10.651,30.558
10.661,34.789
10.671,32.02
10.681,44.251
10.691,62.482
10.701,68.714
10.711,43.945
10.721,52.176
10.731,66.407
10.741,39.638
10.751,47.869
10.761,31.101
10.771,47.332
10.781,72.563
10.791,44.794
10.801,49.025
10.811,43.256
10.821,60.487
10.831,42.719
10.841,42.95
10.851,24.181
10.861,31.382
10.871,32.583
10.881,42.784
10.891,41.985
10.901,25.186
10.911,27.387
10.921,53.588
10.931,14.789
10.941,53.935
10.951,45.08
10.961,48.226
10.971,44.372
10.981,61.518
10.991,48.663
11.001,42.809
11.011,52.955
11.021,42.101
11.031,34.246
11.041,24.392
11.051,47.538
11.061,63.683
11.071,42.874
11.081,49.065
11.091,36.256
11.101,29.447
11.111,48.638
11.121,59.829
11.131,61.02
11.141,48.211
11.151,20.402
11.161,49.593
11.171,47.784
11.181,33.975
11.191,50.166
11.201,30.357
11.211,57.548
11.221,14.739
11.231,30.905
11.241,38.07
11.251,29.236
11.261,38.402
11.271,45.568
11.281,30.734
11.291,26.899
11.301,40.065
11.311,35.231
11.321,49.397
11.331,59.563
11.341,37.729
11.351,32.894
11.361,35.06
11.371,23.226
11.381,45.392
11.391,42.558
11.401,42.724
11.411,27.889
11.421,33.055
11.431,30.221
11.441,26.387
11.451,54.553
11.461,59.719
11.471,46.884
11.481,40.05
11.491,26.216
11.501,39.382
11.511,42.548
11.521,23.714
11.531,29.879
11.541,49.045
11.551,48.211
11.561,35.377
11.571,30.543
11.581,35.709
11.591,59.874
11.601,54.04
11.611,40.206
11.621,47.372
11.631,24.548
11.641,50.724
11.651,37.955
11.661,48.186
11.671,15.417
11.681,38.613
11.691,42.809
11.701,48.005
11.711,35.201
11.721,22.397
11.731,12.593
11.741,36.769
11.751,51.945
11.761,38.121
11.771,31.296
11.781,34.472
11.791,38.648
11.801,39.824
11.811,60
11.821,50.176
11.831,37.352
11.841,31.528
11.851,42.704
11.861,22.879
11.871,35.055
11.881,46.231
11.891,32.407
11.901,42.583
11.911,46.759
11.921,36.935
11.931,24.111
11.941,28.286
11.951,42.462
11.961,39.638
11.971,16.814
11.981,33.99
11.991,28.166
12.001,16.342
12.011,28.513
12.021,46.683
12.031,27.854
12.041,33.025
12.051,39.196
12.061,41.367
12.071,32.538
12.081,32.709
12.091,31.879
12.101,19.05
12.111,59.221
12.121,36.392
12.131,49.563
12.141,32.734
12.151,50.905
12.161,27.075
12.171,20.246
12.181,15.417
12.191,13.568
12.201,24.709
12.211,37.849
12.221,18.99
12.231,24.131
12.241,32.271
12.251,32.437
12.261,23.603
12.271,23.769
12.281,32.935
12.291,32.101
12.301,38.266
12.311,40.432
12.321,29.598
12.331,27.764
12.341,33.93
12.351,33.095
12.361,29.266
12.371,43.447
12.381,38.628
12.391,15.809
12.401,44.985
12.411,32.161
12.421,43.337
12.431,48.513
12.441,38.688
12.451,38.864
12.461,30.04
12.471,38.216
12.481,30.392
12.491,32.568
12.501,44.744
12.511,48.92
12.521,42.095
12.531,26.271
12.541,25.447
12.551,33.623
12.561,36.799
12.571,43.975
12.581,21.151
12.591,28.327
12.601,33.503
12.611,14.678
12.621,56.829
12.631,45.99
12.641,43.151
12.651,50.312
12.661,25.472
12.671,33.633
12.681,41.794
12.691,54.955
12.701,41.116
12.711,52.276
12.721,58.437
12.731,57.598
12.741,66.759
12.751,64.92
12.761,71.08
12.771,64.241
12.781,70.402
12.791,68.563
12.801,95.724
12.811,39.884
12.821,67.045
12.831,59.206
12.841,71.367
12.851,62.528
12.861,45.688
12.871,34.849
12.881,50.01
12.891,40.171
12.901,63.332
12.911,47.492
12.921,55.653
12.931,27.814
12.941,47.975
12.951,34.136
12.961,40.296
12.971,35.457
12.981,44.618
12.991,31.779
13.001,34.94
13.012,32.101
13.022,35.261
13.032,30.422
13.042,39.583
13.052,12.744
13.062,42.859
13.072,25.975
13.082,30.09
13.092,29.206
