kilo-Electron Volt [keV],Counts
0.100,268
0.110,116
0.120,3.5527E-15
0.130,80.214
0.140,651.38
0.150,1249.6
0.160,673.75
0.170,301.95
0.180,181.18
0.190,155.41
0.200,146.66
0.210,149.93
0.220,175.21
0.230,187.5
0.240,236.8
0.250,286.11
0.260,292.44
0.270,301.78
0.280,316.13
0.290,317.49
0.300,293.86
0.310,242.24
0.320,173.63
0.330,143.03
0.340,110.44
0.350,86.864
0.360,71.294
0.370,70.732
0.380,71.172
0.390,75.581
0.400,88.892
0.410,97.191
0.420,92.5
0.430,89.82
0.440,121.9
0.450,154.75
0.460,167.51
0.470,175.22
0.480,204.86
0.490,233.53
0.500,226.21
0.510,259.91
0.520,287.63
0.530,380.36
0.540,434.12
0.550,456.89
0.560,500.68
0.570,578.48
0.580,694.3
0.590,814.14
0.600,883.99
0.610,932.86
0.620,987.74
0.630,1288.6
0.640,1555.6
0.650,1804.5
0.660,2124.4
0.670,2574.4
0.680,2949.3
0.690,3225.3
0.700,3404.3
0.710,3240.3
0.720,3083.3
0.730,2655.4
0.740,2226.4
0.750,1773.4
0.760,1336.5
0.770,965.59
0.780,641.67
0.790,459.77
0.800,359.88
0.810,280.99
0.820,207.12
0.830,179.26
0.840,207.41
0.850,158.57
0.860,180.73
0.870,190.91
0.880,161.1
0.890,173.29
0.900,142.49
0.910,178.61
0.920,157.74
0.930,177.77
0.940,193.76
0.950,190.77
0.960,213.78
0.970,194.81
0.980,184.85
0.990,178.9
1.000,236.92
1.010,190.95
1.020,182.99
1.030,219.9
1.040,212.81
1.050,208.73
1.060,236.64
1.070,211.56
1.080,258.38
1.090,247.22
1.100,252.6
1.110,227.99
1.120,253.3
1.130,305.6
1.140,283.91
1.150,268.22
1.160,257.52
1.170,302.83
1.180,240.14
1.190,273.44
1.200,271.75
1.210,249.06
1.220,283.36
1.230,331.67
1.240,307.97
1.250,263.28
1.260,328.59
1.270,321.89
1.280,271.2
1.290,335.51
1.300,319.81
1.310,318.12
1.320,355.43
1.330,354.73
1.340,303.04
1.350,313.35
1.360,300.65
1.370,368.96
1.380,354.27
1.390,320.57
1.400,387.88
1.410,373.19
1.420,395.49
1.430,387.8
1.440,349.11
1.450,359.41
1.460,361.72
1.470,390.03
1.480,431.33
1.490,432.64
1.500,387.94
1.510,409.25
1.520,379.56
1.530,402.86
1.540,418.17
1.550,374.48
1.560,381.78
1.570,417.09
1.580,381.4
1.590,379.7
1.600,382.01
1.610,405.32
1.620,354.62
1.630,381.93
1.640,394.24
1.650,373.54
1.660,416.85
1.670,428.16
1.680,435.46
1.690,419.77
1.700,449.08
1.710,453.38
1.720,491.69
1.730,455.99
1.740,478.3
1.750,454.61
1.760,484.91
1.770,471.22
1.780,502.53
