kilo-Electron Volt [keV],Counts
0.100,210
0.110,47
0.120,-1.7764E-15
0.130,32.68
0.140,573.92
0.150,1104.2
0.160,470.45
0.170,184.74
0.180,94.037
0.190,74.349
0.200,80.609
0.210,117.8
0.220,165.01
0.230,250.23
0.240,335.46
0.250,366.71
0.260,418.97
0.270,481.25
0.280,503.53
0.290,461.83
0.300,383.14
0.310,312.46
0.320,261.8
0.330,198.14
0.340,146.49
0.350,95.856
0.360,82.23
0.370,77.614
0.380,98.836
0.390,146.69
0.400,219.48
0.410,272.3
0.420,454.13
0.430,707.98
0.440,1103.8
0.450,1842.7
0.460,2773.6
0.470,3925.5
0.480,5418.5
0.490,6871.4
0.500,8302.4
0.510,9345.4
0.520,9747.3
0.530,9486.3
0.540,8539.4
0.550,7314.4
0.560,5713.4
0.570,4215.5
0.580,2895.6
0.590,1764.7
0.600,1132.8
0.610,675.86
0.620,420.98
0.630,232.11
0.640,172.25
0.650,159.41
0.660,138.57
0.670,128.75
0.680,137.9
0.690,154.06
0.700,148.24
0.710,181.42
0.720,164.62
0.730,182.82
0.740,162.04
0.750,169.26
0.760,179.49
0.770,128.74
0.780,140.99
0.790,140.25
0.800,152.52
0.810,164.8
0.820,150.08
0.830,176.38
0.840,170.68
0.850,162.99
0.860,252.31
0.870,225.63
0.880,241.97
0.890,213.31
0.900,250.66
0.910,232.01
0.920,245.37
0.930,256.74
0.940,250.12
0.950,260.5
0.960,266.89
0.970,301.29
0.980,323.69
0.990,329.1
1.000,325.52
1.010,337.94
1.020,349.36
1.030,375.8
1.040,424.24
1.050,464.68
1.060,524.13
1.070,519.59
1.080,531.05
1.090,650.52
1.100,697.61
1.110,777.7
1.120,895.79
1.130,1209.9
1.140,1763
1.150,2510.1
1.160,3742.2
1.170,6017.2
1.180,9184.3
1.190,13747
1.200,19374
1.210,25937
1.220,33069
1.230,39611
1.240,45230
1.250,48099
1.260,48322
1.270,46062
1.280,40991
1.290,35104
1.300,27505
1.310,21201
1.320,14989
1.330,10230
1.340,6673.8
1.350,3942.9
1.360,2327
1.370,1272.1
1.380,777.14
1.390,378.23
1.400,226.32
1.410,153.41
1.420,105.5
1.430,99.593
1.440,95.683
1.450,101.77
1.460,81.864
1.470,85.955
1.480,95.045
1.490,114.14
1.500,91.226
1.510,125.32
1.520,125.41
1.530,105.5
1.540,109.59
1.550,101.68
1.560,62.769
1.570,97.769
1.580,78.769
1.590,98.734
1.600,93.698
1.610,91.663
1.620,81.628
1.630,112.58
1.640,116.53
1.650,102.48
1.660,80.427
1.670,135.38
1.680,134.33
1.690,143.28
1.700,184.23
1.710,159.18
1.720,210.13
1.730,188.08
1.740,194.03
1.750,163.97
1.760,185.92
1.770,187.87
1.780,182.82
1.790,184.77
1.800,133.72
1.810,141.67
1.820,113.62
1.830,118.57
1.840,113.52
1.850,104.47
1.860,95.422
1.870,58.372
1.880,68.271
1.890,81.171
1.900,73.07
1.910,77.97
1.920,83.874
1.930,70.779
1.940,75.683
1.950,89.588
1.960,84.492
1.970,90.397
1.980,82.302
1.990,85.206
2.000,86.111
2.010,94.015
2.020,88.92
2.030,100.82
2.040,87.729
2.050,89.633
2.060,82.538
2.070,69.442
2.080,79.347
2.090,60.286
2.100,70.241
2.110,93.241
2.120,88.407
2.130,96.804
2.140,77.201
2.150,84.598
2.160,102
2.170,92.412
2.180,78.824
2.190,59.271
2.200,66.764
2.210,74.256
2.220,96.749
2.230,67.241
2.240,79.734
2.250,73.226
2.260,80.719
2.270,96.211
2.280,107.7
2.290,99.196
2.300,89.688
2.310,104.18
2.320,111.67
2.330,106.17
2.340,80.658
2.350,82.151
2.360,97.678
2.370,102.32
2.380,114.2
2.390,106.14
2.400,107.07
2.410,117.01
2.420,99.94
2.430,104.87
2.440,109.81
2.450,116.74
2.460,146.68
2.470,162.62
2.480,159.56
2.490,135.52
2.500,149.48
2.510,163.44
2.520,157.4
2.530,168.36
2.540,173.32
2.550,148.28
2.560,133.25
2.570,144.21
2.580,150.18
2.590,122.14
2.600,115.14
2.610,108.15
2.620,105.16
2.630,125.19
2.640,124.21
2.650,109.24
2.660,115.26
2.670,131.31
2.680,128.36
2.690,125.41
2.700,101.46
2.710,98.513
2.720,98.563
2.730,104.61
2.740,102.73
2.750,105.84
2.760,110.96
2.770,91.075
2.780,98.191
2.790,122.31
2.800,106.42
2.810,102.54
2.820,123.65
2.830,123.77
2.840,112.88
2.850,118
2.860,147.12
2.870,157.23
2.880,167.35
2.890,234.46
2.900,257.58
2.910,300.69
2.920,406.81
2.930,492.92
2.940,578.04
2.950,661.16
2.960,749.27
2.970,811.39
2.980,852.5
2.990,838.62
3.000,784.73
3.010,757.85
3.020,699.96
3.030,609.08
3.040,529.2
3.050,457.31
3.060,404.43
3.070,359.54
3.080,330.66
3.090,320.77
3.100,324.98
3.110,323.2
3.120,331.41
3.130,375.63
3.140,406.84
3.150,417.06
3.160,411.28
3.170,412.49
3.180,379.71
3.190,340.92
3.200,315.14
3.210,287.36
3.220,264.57
3.230,232.79
3.240,226.01
3.250,210.22
3.260,190.44
3.270,193.65
3.280,175.87
3.290,165.09
3.300,175.3
3.310,188.52
3.320,164.73
3.330,146.95
3.340,142.17
3.350,152.38
3.360,165.6
3.370,138.81
3.380,111.03
3.390,123.25
3.400,149.46
3.410,135.68
3.420,130.89
3.430,114.11
3.440,108.33
3.450,105.54
3.460,85.759
3.470,96.975
3.480,85.191
3.490,56.407
3.500,67.623
3.510,81.839
3.520,83.055
3.530,88.271
3.540,91.487
3.550,84.704
3.560,89.01
3.570,91.317
3.580,99.658
3.590,117
3.600,136.35
3.610,146.69
3.620,141.06
3.630,162.44
3.640,166.83
3.650,196.22
3.660,261.6
3.670,275.99
3.680,268.38
