kilo-Electron Volt [keV],Counts
0.099,200
0.109,49
0.119,0
0.129,26.738
0.139,210.95
0.149,387.18
0.159,220.42
0.169,136.68
0.179,82.954
0.189,90.239
0.199,96.536
0.209,94.847
0.219,102.17
0.229,132.5
0.239,164.85
0.249,185.21
0.259,201.58
0.269,210.96
0.279,205.35
0.289,197.75
0.299,197.16
0.309,162.58
0.319,121.01
0.329,109.45
0.339,93.895
0.349,84.352
0.359,83.817
0.369,66.291
0.379,70.734
0.389,84.078
0.399,92.392
0.409,88.718
0.419,87.053
0.429,110.22
0.439,112.38
0.449,110.56
0.459,119.74
0.469,121.93
0.479,149.13
0.489,163.35
0.499,150.57
0.509,186.81
0.519,165.06
0.529,178.31
0.539,163.58
0.549,163.86
0.559,185.15
0.569,181.45
0.579,155.76
0.589,148.07
0.599,179.4
0.609,175.74
0.619,171.08
0.629,196.43
0.639,199.79
0.649,219.16
0.659,219.54
0.669,243.92
0.679,273.32
0.689,280.72
0.699,288.13
0.709,286.54
0.719,295.96
0.729,296.39
0.739,291.83
0.749,285.27
0.759,294.72
0.769,298.18
0.779,299.64
0.789,366.11
0.799,369.59
0.809,350.07
0.819,388.56
0.829,414.05
0.839,386.55
0.849,401.06
0.859,449.57
0.869,453.08
0.879,449.61
0.889,450.13
0.899,484.67
0.909,507.2
0.919,489.75
0.929,468.3
0.939,520.85
0.949,502.41
0.959,525.97
0.969,543.53
0.979,584.11
0.989,561.68
0.999,579.26
1.009,537.85
1.019,632.44
1.029,615.03
1.039,557.63
1.049,603.23
1.059,616.84
1.069,591.45
1.079,606.06
1.089,680.68
1.099,627.01
1.109,636.34
1.119,660.67
1.129,636.01
1.139,647.34
1.149,682.67
1.159,680
1.169,664.33
1.179,650.66
1.189,707.99
1.199,694.33
1.209,686.66
1.219,723.99
1.229,686.32
1.239,745.65
1.249,793.98
1.259,706.32
1.269,780.65
1.279,725.98
1.289,711.31
1.299,769.64
1.309,803.97
1.319,845.31
1.329,871.64
1.339,831.97
1.349,866.3
1.359,870.63
1.369,875.96
1.379,890.3
1.389,878.63
1.399,920.96
1.409,1008.3
1.419,996.62
1.429,1003
1.439,1112.3
1.449,1104.6
1.459,1179.9
1.469,1233.3
1.479,1245.6
1.489,1193.9
1.499,1238.3
1.509,1330.6
1.519,1377.9
1.529,1289.3
1.539,1413.6
1.549,1361.9
1.559,1449.3
1.569,1454.6
1.579,1453.9
1.589,1647.3
1.599,1914.6
1.609,2462.9
1.619,3546.3
1.629,5512.6
1.639,8977.9
1.649,14098
1.659,21941
1.669,33017
1.679,47523
1.689,64691
1.699,83375
1.709,1.0212E5
1.719,1.1742E5
1.729,1.2875E5
1.739,1.3214E5
1.749,1.2887E5
1.759,1.1862E5
1.769,1.038E5
1.779,86237
1.789,67853
1.799,51356
1.809,37196
1.819,26293
1.829,18700
1.839,13223
1.849,9291.9
1.859,6653.2
1.869,4791.5
1.879,3544.9
1.889,2469.2
1.899,1742.5
1.909,1166.9
1.919,702.21
1.929,447.54
1.939,245.87
1.949,140.2
1.959,80.533
1.969,56.864
1.979,45.196
1.989,38.528
1.999,21.859
2.009,32.191
2.019,37.523
2.029,41.854
2.039,30.186
2.049,33.518
2.059,45.849
2.069,37.181
2.079,26.513
2.089,8.8442
2.099,16.136
2.109,39.412
2.119,17.824
2.129,36.497
2.139,35.171
2.149,44.844
2.159,19.518
2.169,24.166
2.179,37.774
2.189,44.382
2.199,38.99
2.209,32.598
2.219,42.206
2.229,59.814
2.239,29.422
2.249,38.98
2.259,59.528
2.269,46.075
2.279,60.623
2.289,59.171
2.299,47.719
2.309,51.266
2.319,60.814
2.329,79.362
2.339,72.91
2.349,53.457
2.359,37.005
2.369,41.578
2.379,53.221
2.389,49.889
2.399,64.558
2.409,47.226
2.419,34.015
2.429,52.719
2.439,55.407
2.449,61.095
2.459,65.784
2.469,80.472
2.479,70.161
2.489,61.849
2.499,62.538
2.509,61.226
2.519,85.915
2.529,62.603
2.539,53.291
2.549,82.98
2.559,58.668
2.569,52.362
2.579,61.055
2.589,67.759
2.599,66.462
2.609,61.166
2.619,57.869
2.629,66.573
2.639,67.276
2.649,58.98
2.659,55.683
2.669,55.387
2.679,73.09
2.689,87.794
2.699,71.497
2.709,54.201
2.719,60.905
2.729,75.608
2.739,96.382
2.749,95.156
2.759,87.93
2.769,78.704
2.779,76.477
2.789,72.251
2.799,63.025
2.809,65.799
2.819,57.573
2.829,66.347
2.839,95.121
2.849,86.894
2.859,78.668
2.869,76.442
2.879,63.216
2.889,70.99
2.899,78.764
2.909,81.538
2.919,110.31
2.929,111.09
2.939,103.86
2.949,105.63
2.959,90.407
2.969,96.181
2.979,109.98
2.989,102.83
2.999,103.68
3.010,93.528
3.020,94.377
3.030,97.226
3.040,85.075
3.050,78.925
