kilo-Electron Volt [keV],Counts
0.100,256
0.110,75
0.120,7.1054E-15
0.130,87.146
0.140,723.08
0.150,1413
0.160,853
0.170,489.99
0.180,308
0.190,150.03
0.200,139.07
0.210,182.14
0.220,247.21
0.230,310.31
0.240,392.42
0.250,471.55
0.260,516.69
0.270,565.85
0.280,570.02
0.290,543.2
0.300,496.4
0.310,392.61
0.320,280.84
0.330,235.07
0.340,177.32
0.350,126.58
0.360,119.86
0.370,103.14
0.380,89.438
0.390,103.63
0.400,116.77
0.410,120.92
0.420,117.09
0.430,108.27
0.440,129.3
0.450,155.14
0.460,181.79
0.470,182.45
0.480,219.97
0.490,201.51
0.500,250.81
0.510,275.14
0.520,240.49
0.530,280.87
0.540,315.26
0.550,294.68
0.560,364.12
0.570,407.59
0.580,502.07
0.590,669.57
0.600,929.09
0.610,1405.6
0.620,1956.2
0.630,2572.8
0.640,3422.4
0.650,4081
0.660,4656.6
0.670,4928.3
0.680,4976.9
0.690,4668.6
0.700,4217.3
0.710,3428.1
0.720,2889.8
0.730,2002.5
0.740,1407.3
0.750,919.08
0.760,624.88
0.770,417.69
0.780,285.51
0.790,240.35
0.800,214.2
0.810,193.06
0.820,229.92
0.830,194.79
0.840,210.57
0.850,214.34
0.860,227.05
0.870,242.77
0.880,240.51
0.890,226.26
0.900,254.02
0.910,252.8
0.920,250.59
0.930,263.4
0.940,266.22
0.950,247.05
0.960,261.89
0.970,273.75
0.980,280.62
0.990,284.5
1.000,269.39
1.010,284.29
1.020,300.21
1.030,320.13
1.040,341.07
1.050,333.02
1.060,326.98
1.070,383.95
1.080,395.93
1.090,339.92
1.100,398.36
1.110,321.79
1.120,411.23
1.130,397.67
1.140,431.11
1.150,406.54
1.160,370.98
1.170,379.42
1.180,391.85
1.190,402.29
1.200,403.73
1.210,425.17
1.220,465.6
1.230,454.04
1.240,432.48
1.250,449.91
1.260,477.35
1.270,502.79
1.280,465.23
1.290,473.66
1.300,510.1
1.310,467.54
1.320,518.97
1.330,552.41
1.340,496.85
1.350,568.29
1.360,504.72
1.370,528.16
1.380,564.6
1.390,533.04
1.400,577.47
1.410,573.91
1.420,560.35
1.430,606.78
1.440,580.22
1.450,636.66
1.460,645.1
1.470,683.53
1.480,673.97
1.490,737.41
1.500,741.84
1.510,912.28
1.520,972.72
1.530,1065.2
1.540,1088.6
1.550,1090
1.560,1124.5
1.570,1156.9
1.580,1175.3
1.590,1233.8
1.600,1260.2
1.610,1279.7
1.620,1289.1
1.630,1300.5
1.640,1375
1.650,1393.4
1.660,1415.8
1.670,1564.3
1.680,1571.7
1.690,1785.2
1.700,2296.6
1.710,3198
1.720,4605.5
1.730,6336.9
1.740,8971.3
1.750,12126
1.760,15871
1.770,19657
1.780,23602
1.790,27182
1.800,29602
1.810,31081
1.820,31328
1.830,30905
1.840,29720
1.850,27640
1.860,24846
1.870,21992
1.880,18985
1.890,16274
1.900,13597
1.910,10830
1.920,8733.2
1.930,6929.6
1.940,5333.1
1.950,4050.5
1.960,2951
1.970,2222.4
1.980,1625.8
1.990,1146.3
2.000,805.7
2.010,642.14
2.020,445.58
