kilo-Electron Volt [keV],Counts
0.101,149
0.111,43
0.121,0
0.131,25.748
0.141,303.14
0.151,589.57
0.161,365.03
0.171,276.51
0.181,252.03
0.191,260.57
0.201,332.14
0.211,414.73
0.221,493.35
0.231,577.99
0.241,689.66
0.251,827.35
0.261,882.06
0.271,922.79
0.281,905.55
0.291,830.33
0.301,738.13
0.311,586.94
0.321,457.78
0.331,340.63
0.341,233.51
0.351,163.4
0.361,136.31
0.371,146.19
0.381,140.09
0.391,141.98
0.401,180.58
0.411,204.01
0.421,222.37
0.431,238.76
0.441,310.17
0.451,359.61
0.461,481.07
0.471,569.55
0.481,708.05
0.491,845.58
0.501,970.12
0.511,959.69
0.521,998.27
0.531,911.88
0.541,881.51
0.551,769.15
0.561,595.82
0.571,414.5
0.581,376.2
0.591,287.91
0.601,272.65
0.611,216.4
0.621,188.16
0.631,187.95
0.641,222.75
0.651,191.56
0.661,181.39
0.671,203.1
0.681,204.83
0.691,243.57
0.701,285.33
0.711,261.11
0.721,241.9
0.731,261.7
0.741,211.52
0.751,231.35
0.761,245.2
0.771,219.06
0.781,220.93
0.791,186.82
0.801,205.61
0.811,246.19
0.821,258.78
0.831,246.4
0.841,239.03
0.851,235.67
0.861,245.27
0.871,270.73
0.881,279.16
0.891,284.56
0.901,298.96
0.911,322.37
0.921,304.8
0.931,304.25
0.941,280.72
0.951,339.15
0.961,323.6
0.971,285.07
0.981,349.45
0.991,300.85
1.001,337.2
1.011,345.57
1.021,323.95
1.031,332.35
1.041,327.76
1.051,344.19
1.061,326.64
1.071,377.11
1.081,358.59
1.091,346.08
1.101,362.91
1.111,310.75
1.121,291.58
1.131,355.23
1.141,364.88
1.151,362.53
1.161,362.18
1.171,358.82
1.181,404.47
1.191,377.12
1.201,388.77
1.211,410.42
1.221,402.07
1.231,402.71
1.241,404.42
1.251,412.25
1.261,424.08
1.271,414.91
1.281,389.77
1.291,395.64
1.301,419.51
1.311,377.38
1.321,421.27
1.331,394.21
1.341,426.15
1.351,430.09
1.361,450.03
1.371,441.97
1.381,467.91
1.391,473.85
1.401,452.79
1.411,456.78
1.421,475.77
1.431,480.76
1.441,512.75
1.451,519.74
1.461,545.73
1.471,621.72
1.481,593.71
1.491,590.7
1.501,516.69
1.511,583.68
1.521,589.67
1.531,519.66
1.541,533.65
1.551,509.64
1.561,456.63
1.571,474.62
1.581,431.61
1.591,489.6
1.601,454.59
1.611,448.58
1.621,476.57
